abejaip	_ _
ajàièni	_ a j' ea i tS' n' i _
ajàma	_ a j' ea m a _
ajàmai	_ a j' ea m a j _
ajàmi	_ a j' ea m' i _
ajàmis	_ a j' ea m' i s _
ajàmið	_ a j' ea m' i S _
ajàmo	_ a j' ea m oo _
ajànit	_ a j' ea n' i t _
ajàt	_ a j' ea t _
akcent	_ a k' ts' e n t _
akcept	_ a k' ts' e p t _
aki	_ A k' i _
akin	_ a k' i n _
akingai	_ a k' i n g a j _
akiplëða	_ a k' I p' l' ee S a _
akl	_ a k l _
aklimatiz	_ a k' l' i m a t' i s _
aklin	_ a k' l' i n _
aklinë	_ a k' l' I n' ee _
aklio	_ aA k' l' oo _
aklom	_ a k l oo M _
aklomis	_ a k l oo m' I s _
aklë	_ a k' l' eE _
akmena	_ a k' m' e n a _
akmenë	_ a k' m' eA n' ee _
akmuo	_ a k m uO _
akomod	_ a k oo m oo t _
akompan	_ a k oo m p a n _
akredit	_ a k' r' e d' i t _
aksiomatiz	_ a k' s' oo m a t' i s _
akstin	_ a k' s' t' i n _
aktualin	_ a k t u a l' i n _
aktualiz	_ a k t u a l' i s _
aktualë	_ a k t u a l' ee _
aktyv	_ a k' t' ii v _
aktyvin	_ a k' t' ii v' i n _
aktyvë	_ a k' t' ii v' ee _
akumuli	_ a k u m u l' i _
akuotinë	_ a k Uo t' i n' ee _
akylë	_ a k' ii l' ee _
akë	_ a k' ee _
alav	_ a l a v _
alegoriz	_ a l' e g oo r' i s _
aleliuja	_ a l' e l' U j' e _
algoritm	_ a l g oo r' i t m _
algoritmiz	_ a l g oo r' i t' m' i s _
aliai	_ a l' e j _
aliarm	_ a l' e r m _
alibi	_ aA l' i b' i _
aliej	_ a l' ie j' _
alin	_ a l' i n _
alio	_ a l' oo _
alit	_ a l' i t _
alk	_ Aa l k _
alkana	_ a l k a n A _
alkilin	_ a l' k' i l' i n _
alkiloksimetilin	_ a l' k' i l oo k' s' i m' e t' i l' i n _
alkin	_ a l' k' i n _
alkoholiz	_ a l k oo h oo l' i s _
alkë	_ a l' k' ee _
alkûni	_ a l k uu n' i _
alm	_ a l m _
alp	_ a l p _
alpin	_ a l' p' i n _
alpuli	_ a l p u l' i _
alpë	_ a l' p' ee _
als	_ a l s _
alsin	_ a l' s' i n _
alter	_ a l' t' e r _
alyv	_ a l' ii v _
alûn	_ a l uu n _
ama	_ a m a _
amad	_ a m a t _
amai	_ a m A J _
amal	_ a m a l _
amalgam	_ a m a l g a m _
amalio	_ a m a l' oo _
amar	_ a m a r _
amatininka	_ a m a t' i n' i n k a _
ambasadoria	_ a m b a s a d oo r' e _
ambitus	_ Aa m' b' i t u s _
ambr	_ a m b r _
amen	_ aA m' e n _
amerikonë	_ a m' e r' i k oO n' ee _
ami	_ a m' i _
amis	_ a m' i s _
amið	_ a m' i S _
amnest	_ a m' n' e s t _
amo	_ aA m oo _
amortiz	_ a m oo r' t' i s _
amplua	_ a m p l u A _
amput	_ a m p u t _
ams	_ a m s _
amt	_ Aa m t _
amtelë	_ a m' t' e l' ee _
amèio	_ a m' tS' oo _
amþin	_ a m' Z' i n _
amþindie	_ a m' Z' i n' d' iE _
ana	_ a n A _
anai	_ a n Aa j _
anaip	_ a n A J p _
anaiptol	_ a n a j p t oo L _
anais	_ a n A J s _
anaisiais	_ a n A J s' e j s _
anajai	_ a n Aa j' e j _
anajam	_ a n Aa j' e m _
anajame	_ a n aA j' e m' e _
anakur	_ a n aA k u r _
analiz	_ a n a l' i s _
anam	_ a n Aa m _
aname	_ a n a m' E _
anapus	_ a n A p u s _
anas	_ a n A s _
anasai	_ a n a s A J _
and	_ a n t _
andai	_ A N d a j _
andante	_ a n d Aa n' t' e _
aneks	_ a n' e k s _
anestez	_ a n' e s' t' e s _
anfas	_ a n f A s _
angaþ	_ a n g a S _
angl	_ a n g l _
angli	_ a n' g' l' i _
anglin	_ a n' g' l' i n _
anglë	_ Aa n' g' l' ee _
anie	_ a n' iE _
aniedvi	_ a n' iE d' v' i _
aniedviem	_ a n' Ie d' v' ie m _
anieji	_ a n' Ie j' i _
aniek	_ a n' Ie k _
aniemdviem	_ a n' ie m' d' v' ie m _
aniems	_ a n' Ie m s _
aniesiems	_ a n' Ie s' ie m s _
anit	_ a n' i t _
anket	_ a n' k' e t _
anksti	_ a n' k' s' t' I _
ankstin	_ a n' k' s' t' i n _
ankstë	_ a n' k' s' t' ee _
ankðtin	_ a n' k' S' t' i n _
ankðtë	_ a n' k' S' t' ee _
ano	_ a n oO _
anod	_ a n oo t _
anodviem	_ a n Oo d' v' ie m _
anoje	_ a n oo j' E _
anoji	_ a n Oo j' i _
anojo	_ a n oO j' oo _
anojoje	_ a n oO j' oo j' e _
anokie	_ a n oo k' iE _
anoks	_ a n Oo k s _
anomdviem	_ a n Oo m' d' v' ie m _
anomis	_ a n oo m' I s _
anoms	_ a n Oo m s _
anons	_ a n oo n s _
anos	_ a n oO s _
anose	_ a n oo s' E _
anosiomis	_ a n oO s' oo m' i s _
anosioms	_ a n Oo s' oo m s _
anosios	_ a n oO s' oo s _
anosiose	_ a n oO s' oo s' e _
anot	_ a n oo t _
ant	_ a n t _
antausi	_ a n t a w s' i _
antraip	_ a n t r A J p _
antrameèia	_ a n t r a m' e tS' e _
antrapus	_ a n t r A p u s _
antrin	_ a n' t' r' i n _
antroks	_ a n t r Oo k s _
antrur	_ a n t r U R _
antràkart	_ A N t r aa k a r t _
antràsyk	_ A N t r aa s' ii k _
antspaud	_ a n t s p a w t _
anuli	_ a n u l' i _
anuo	_ a n uO _
anuodu	_ a n uO d u _
anuoju	_ a n Uo j' u _
anuokart	_ a n uO k a r t _
anuolaik	_ a n uO l a j k _
anuomet	_ a n uO m' e t _
anuos	_ a n uo s _
anuose	_ a n uo s' e _
anuosiuose	_ a n uO s' uo s' e _
anuosius	_ a n Uo s' u s _
anuosyk	_ a n uO s' ii k _
anà	_ a n aA _
anàdien	_ a n aA d' ie n _
anàja	_ a n Aa j' e _
anàjà	_ a n aA j' ea _
anàkart	_ a n aA k a r t _
anàmet	_ a n aA m' e t _
anàsias	_ a n Aa s' e s _
anàsyk	_ a n aA s' ii k _
anèia	_ Aa n' tS' e _
apaèiau	_ a p a tS' E W _
apaðtala	_ a p a S t a l a _
apeli	_ a p' e l' i _
apgaudinë	_ a b g a w d' i n' ee _
apgraibom	_ a b g r a j b oo m _
apgraibomis	_ a b g r a j b oo m' I s _
apgëlë	_ a b' g' Ee l' ee _
api	_ a p' i _
apie	_ a p' ie _
aplik	_ a p' l' I k _
aplink	_ a p' l' I N k _
aplinkui	_ a p' l' I N k u j _
apmauda	_ a p m a w d a _
aprob	_ a p r oo p _
aproksim	_ a p r oo k' s' i m _
apsi	_ a p' s' i _
apskritin	_ a p' s' k' r' i t' i n _
apstë	_ a p' s' t' ee _
apsuk	_ a p s u k _
apsukom	_ a p s u k oo m _
apsukomis	_ a p s u k oo m' I s _
apsukui	_ a p s u k u j _
apvalainin	_ a p v a l a j n' i n _
apvalin	_ a p v a l' i n _
apvalë	_ a p v aA l' ee _
apylankom	_ a p' Ii l a n k oo m _
apylankomis	_ a p' Ii l a n k oo m' i s _
apynia	_ a p' ii n' e _
apèiuopom	_ a p' tS' uo p oo m _
apèiuopomis	_ a p' tS' uo p oo m' i s _
apþargom	_ a b Z a r g oo m _
apþargomis	_ a b Z a r g oo m' I s _
apþargui	_ a b Z a r g U J _
aranþ	_ a r a n S _
arba	_ a r b a _
archaiz	_ a r x a j s _
ard	_ a r t _
ardente	_ a r' d' E N' t' e _
ardinë	_ a r' d' I n' ee _
aren	_ a r' e n _
areðt	_ a r' e S t _
argi	_ A R' g' i _
argument	_ a r g u m' e n t _
arinë	_ a r' i n' ee _
ariozo	_ a r' O z oo _
aritmetiz	_ a r' i t' m' e t' i s _
ark	_ Aa r k _
arm	_ a r m _
armaz	_ a r m a s _
armuo	_ a r m uO _
aromatiz	_ a r oo m a t' i s _
arp	_ a r p _
arti	_ a r' t' i _
artikuli	_ a r' t' i k u l' i _
artin	_ a r' t' i n _
artyn	_ a r' t' iI n _
artë	_ a r' t' ee _
arë	_ aA r' ee _
aseniz	_ a s' e n' i s _
asfalt	_ a s f a l t _
asign	_ a s' i g n _
asimili	_ a s' i m' i l' i _
asist	_ a s' i s t _
asmen	_ a s' m' e n _
asmenin	_ a s' m' e n' i n _
asmuo	_ a s m uO _
asocij	_ a s oo ts' i j' _
asorti	_ a s oo r' t' I _
atatupstom	_ a t a t u p s t oo M _
atatupstomis	_ a t a t u p s t oo m' I s _
ataðë	_ a t a S' eE _
atbrailo	_ a d b r a j l oo _
atbula	_ a d b u l A _
atbulom	_ a d b u l oo M _
atbulomis	_ a d b u l oo m' I s _
ateljë	_ a t' e l' j' eE _
atest	_ a t' e s t _
atgailo	_ a d g A J l oo _
atgal	_ a d g A L _
atgalios	_ a d g a l' oo s _
ati	_ a t' i _
atitikmuo	_ a t' i t' i k m uO _
atkaitom	_ a t k a j t oo m _
atkaitomis	_ a t k a j t oo m' I s _
atkakla	_ a t k a k l a _
atnaða	_ a t n a S a _
atodairom	_ a t Oo d a j r oo m _
atodairomis	_ a t Oo d a j r oo m' i s _
atostoga	_ a t Oo s t oo g a _
atotrûkom	_ a t Oo t r uu k oo m _
atotrûkomis	_ a t Oo t r uu k oo m' i s _
atotrûkèiais	_ a t Oo t r uu k' tS' e j s _
atpëdþiui	_ a t' p' eE dZ' u j _
atrajo	_ a t r a j' oo _
atrof	_ a t r oo f _
atseit	_ a t' s' E J t _
atsi	_ a t' s' i _
atspirom	_ a t' s' p' i r oo M _
atspiromis	_ a t' s' p' i r oo m' I s _
atstova	_ a t s t oo v a _
atstu	_ a t s t U _
atsëli	_ a t' s' ee l' i _
atþagario	_ a d Z a g a r' oo _
atþagariom	_ a d Z a g a r' oo M _
atþagariomis	_ a d Z a g a r' oo m' I s _
audi	_ a w d' i _
audrin	_ a w d' r' i n _
audro	_ a w d r oo _
audë	_ Aa w d' ee _
aug	_ a w k _
augin	_ a w g' i n _
augmuo	_ a w g m uO _
augtelë	_ a w k' t' e l' ee _
augë	_ a w g' ee _
auj	_ a w j' _
auk	_ A W k _
auka	_ a w k A _
auklë	_ Aa w k' l' ee _
auko	_ a w k oo _
auks	_ a w k s _
auksin	_ a w k' s' i n _
auksë	_ Aa w k' s' ee _
aukðlia	_ a w k' S' l' e _
aukðtaièi	_ a w k S t a j tS' i _
aukðtin	_ a w k' S' t' i n _
aukðtkaupais	_ a w k S t k a w p A J s _
aukðtyn	_ a w k' S' t' iI n _
aukðtë	_ a w k' S' t' ee _
aukðèiau	_ a w k' S' tS' E W _
aumuo	_ a w m uO _
aun	_ a w n _
auo	_ a uo _
aure	_ a w r' E _
aus	_ A W s _
ausdin	_ a w z' d' i n _
aust	_ a w s t _
autodafë	_ a w t oo d a f' eE _
autofaz	_ a w t oo f a s _
automatin	_ a w t oo m a t' i n _
automatiz	_ a w t oo m a t' i s _
automatë	_ a w t oo m a t' ee _
autonomiz	_ a w t oo n oo m' i s _
autoriedmuo	_ a w t oo r' ie d m uO _
autoriz	_ a w t oo r' i s _
auð	_ Aa w S _
auðin	_ a w S' i n _
auðro	_ a w S r oo _
auðë	_ a w S' ee _
ava	_ a v A _
avans	_ a v a n s _
aveniu	_ a v' e n' U _
avieèia	_ a v' ie tS' e _
avinë	_ a v' I n' ee _
azartin	_ a z a r' t' i n _
azotin	_ a z oo t' i n _
aèiû	_ aA tS' uu _
aðarin	_ a S a r' i n _
aðaro	_ a S a r oo _
aðmuo	_ a S m uO _
aðtrin	_ a S' t' r' i n _
aðtrë	_ a S' t' r' ee _
aðtuoneria	_ a S t Uo n' e r' e _
aðtuoni	_ a S t uo n' I _
aðtuoniaip	_ a S t uo n' E J p _
aðtuoniais	_ a S t uo n' E J s _
aðtuonias	_ a S t Uo n' e s _
aðtuoniasdeðimt	_ a S t Uo n' e z' d' e S' i m t _
aðtuoniems	_ a S t uo n' Ie m s _
aðtuoniese	_ a S t uo n' Ie s' e _
aðtuoniomis	_ a S t uo n' oo m' I s _
aðtuonioms	_ a S t uo n' Oo m s _
aðtuonios	_ a S t Uo n' oo s _
aðtuoniose	_ a S t uo n' oo s' E _
aðtuonis	_ a S t Uo n' i s _
aðtuoniuose	_ a S t uo n' uo s' E _
aþio	_ aA Z' oo _
aþiust	_ a Z' u s t _
babali	_ b a b a l' i _
baban	_ b a b a n _
baboab	_ b a b oo a p _
babs	_ b a p s _
babt	_ b a p t _
babtelë	_ b a p' t' e l' ee _
bad	_ b a t _
bada	_ b a d a _
badadvësia	_ b a d a d' v' ee s' e _
badik	_ b a d' i k _
badin	_ b a d' i n _
badinë	_ b a d' I n' ee _
badmiria	_ b a d' m' i r' e _
baduk	_ b a d u k _
badë	_ b aA d' ee _
bag	_ b a k _
baid	_ b a j t _
baidinë	_ b A J d' i n' ee _
baig	_ b a j k _
baiginë	_ b a j g' I n' ee _
baigmuo	_ b a j g m uO _
baikðta	_ b a j k S t a _
baikðtin	_ b a j k' S' t' i n _
baikðtë	_ b a j k' S' t' ee _
bailin	_ b a j l' i n _
bails	_ b a j l s _
bailë	_ b a j l' eE _
baimin	_ b a j m' i n _
bais	_ b A J s _
baisin	_ b a j s' i n _
baisë	_ b a j s' ee _
bak	_ b a k _
bakap	_ b a k a p _
bakapordih	_ b a k a p oo r' d' i h _
bakara	_ b a k a r A _
bakeirp	_ b a k' e j r p _
bakeirpotua	_ b a k' e j r p oo t u a _
bakeirpsup	_ b a k' e j r p s u p _
bakin	_ b a k' i n _
baknas	_ b a k n a s _
bako	_ b aA k oo _
bakpa	_ b a k p a _
bakrep	_ b a k' r' e p _
baks	_ b a k s _
baksen	_ b a k' s' e n _
baksno	_ b a k s n oo _
bakst	_ b a k s t _
bakstelë	_ b a k' s' t' e l' ee _
baksèio	_ b a k' S' tS' oo _
bakta	_ b a k t a _
baku	_ b a k U _
bakði	_ b a k' S' i _
bakðtin	_ b a k' S' t' i n _
bakþu	_ b a g Z u _
bal	_ b a l _
balado	_ b a l a d oo _
balam	_ b aA l a m _
balans	_ b a l a n s _
balaþin	_ b a l A Z' i n _
balbat	_ b a l b a t _
bald	_ b a l t _
balin	_ b a l' i n _
balno	_ b A L n oo _
balotir	_ b a l oo t' i r _
bals	_ b A L s _
balt	_ b a l t _
baltaki	_ b a l t aA k' i _
baltin	_ b a l' t' i n _
baltë	_ b Aa l' t' ee _
balzam	_ b a l z a m _
balzg	_ b a l s k _
balzgan	_ b a l z g a n _
balzgen	_ b a l' z' g' e n _
balzgin	_ b a l' z' g' i n _
balþ	_ b a l S _
bamb	_ b a m p _
bambali	_ b a m b a l' i _
bambin	_ b a m' b' i n _
bamblinë	_ b a m' b' l' I n' ee _
bambs	_ b A M p s _
bambt	_ b a m p t _
bambtelë	_ b a m' p' t' e l' ee _
bampt	_ b a m p t _
banalin	_ b a n a l' i n _
banalë	_ b a n a l' ee _
band	_ b a n t _
bandininka	_ b a n' d' i n' i n k a _
bandþio	_ b Aa n' dZ' oo _
bang	_ b a n k _
baniut	_ b a n' u t _
bank	_ b a n k _
bankap	_ b a n k a p _
bankrut	_ b a n k r u t _
banrab	_ b a n r a p _
bar	_ b a r _
bara	_ b aA r a _
baravyka	_ b a r a v' ii k a _
baraþ	_ b a r a S _
barb	_ b a r p _
barbarë	_ b a r b a r' ee _
barben	_ b a r' b' e n _
barbin	_ b a r' b' i n _
barbot	_ b a r b oo t _
bardgeins	_ b a r' d' g' e j n s _
bardo	_ b a r d oo _
bardpalð	_ b a r t p a l S _
bardþu	_ b a r dZ u _
barg	_ b a r k _
bargna	_ b a r g n a _
bargpa	_ b a r k p a _
barikad	_ b a r' i k a t _
barinë	_ b aA r' i n' ee _
bark	_ b Aa r k _
barks	_ b a r k s _
barkð	_ b A R k S _
barkðno	_ b a r k S n oo _
barkðt	_ b a r k S t _
barkðtelë	_ b a r' k' S' t' e l' ee _
barkðèio	_ b a r' k' S' tS' oo _
barp	_ b a r p _
barst	_ b a r s t _
barstinë	_ b a r' s' t' I n' ee _
barz	_ b a r s _
barzd	_ b a r s t _
barðk	_ b a r S k _
barðkali	_ b a r S k a l' i _
barðken	_ b a r' S' k' e n _
barðkin	_ b a r' S' k' i n _
bas	_ b a s _
basaip	_ b a s a j p _
basaminèia	_ b a s aA m' i n' tS' e _
basauèiai	_ b a s A W tS' e j _
basnirèia	_ b a s' n' I r' tS' e _
basnirèiom	_ b a s' n' I r' tS' oo m _
basnirèiomis	_ b a s' n' I r' tS' oo m' i s _
basom	_ b a s oo M _
basomis	_ b a s oo m' I s _
bast	_ b a s t _
bastelë	_ b a s' t' e l' ee _
bastinë	_ b a s' t' i n' ee _
basèio	_ b a S' tS' oo _
bats	_ b a t s _
batsap	_ b a t s a p _
batsivas	_ b a t' s' i v a s _
batsoun	_ b a t s oo w n _
batð	_ b a t S _
batðam	_ b a t S a m _
bau	_ b A W _
baub	_ b a w p _
bauben	_ b a w b' e n _
baubo	_ b A W b oo _
baubtelë	_ b a w p' t' e l' ee _
baubèio	_ b a w p' tS' oo _
baudais	_ b a w d A J s _
baudþiavin	_ b a w dZ' e v' i n _
baugi	_ b a w g' i _
baugin	_ b a w g' i n _
baugë	_ b a w g' ee _
baugðtin	_ b a w k' S' t' i n _
baugðtë	_ b a w k' S' t' ee _
baz	_ b a s _
bað	_ b a S _
baþ	_ b a S _
bdgkptcèfh	_ b' eE d' eE g' eE k aA p' eE t' eE ts' eE tS' eE E f h aA _
bdgptksðzþcè	_ b' eE d' eE g' eE p' eE t' eE k aA E s' E Z' z' eE Z' eE ts' eE tS' eE _
bdgzþ	_ b' eE d' eE g' eE z' eE Z' eE _
beap	_ b' e a p _
beapi	_ b' e a p' i _
beapsi	_ b' e a p' s' i _
beat	_ b' e a t _
beati	_ b' e a t' i _
beatsi	_ b' e a t' s' i _
bedievë	_ b' e d' iE v' ee _
bedþio	_ b' e dZ' oo _
befe	_ b' e f' e _
beg	_ b' E k _
begu	_ b' e g u _
begëdin	_ b' e g' ee d' i n _
bei	_ b' e j _
beic	_ b' e j ts _
beiksorp	_ b' e j k s oo r p _
beir	_ b' e j r _
beirgþu	_ b' e j r g Z u _
beirsup	_ b' e j r s u p _
beirypa	_ b' e j r' ii p a _
beits	_ b' e j t s _
beitsaiguad	_ b' e j t s a j g u a t _
beitsailpmurk	_ b' e j t s a j l p m u r k _
beitsainkað	_ b' e j t s a j n k a S _
beitsameþ	_ b' e j t s a m' e S _
beitsaneiv	_ b' e j t s a n' e j v _
beitsatðkua	_ b' e j t s a t S k u a _
beitsirt	_ b' e j t' s' i r t _
beitsivd	_ b' e j t' s' i v t _
beitsneiv	_ b' e j t' s' n' e j v _
beitspup	_ b' e j t s p u p _
beitsrub	_ b' e j t s r u p _
beitstorg	_ b' e j t s t oo r k _
beið	_ b' e I S _
beiðsi	_ b' e j S' s' i _
beje	_ b' e j' E _
bejuok	_ b' e j' uO k _
bek	_ b' e k _
bel	_ b' e l _
beletriz	_ b' e l' e t' r' i s _
belg	_ b' e l k _
belkanto	_ b' e l k Aa n t oo _
belstelë	_ b' e l' s' t' e l' ee _
bema	_ b' e m a _
bemat	_ b' e m A t _
bematai	_ b' e m a t a j _
bematant	_ b' e m aA t a n t _
bemaþ	_ b' e m A S _
bembë	_ b' e m' b' ee _
bemenk	_ b' e m' E N k _
ben	_ b' e n _
bendra	_ b' e n d r A _
bendradarbia	_ b' e n d r a d a r' b' e _
bendravardiklin	_ b' e n d r a v a r' d' i k' l' i n _
bendrin	_ b' e n' d' r' i n _
bendrininka	_ b' e n' d' r' i n' i n k a _
bene	_ b' e n' E _
beng	_ b' e n k _
benk	_ b' E N k _
bent	_ b' e n t _
benu	_ b' e n U _
benusi	_ b' e n u s' i _
bepa	_ b' e p a _
bepar	_ b' e p a r _
beparsi	_ b' e p a r' s' i _
bepasi	_ b' e p a s' i _
beper	_ b' e p' e r _
bepersi	_ b' e p' Ea r' s' i _
bepig	_ b' e p' I k _
bepigu	_ b' e p' I g u _
bepra	_ b' e p r a _
beprasi	_ b' e p r A s' i _
bepri	_ b' e p' r' i _
beprisi	_ b' e p' r' i s' i _
beproèia	_ b' e p r oo tS' e _
berd	_ b' e r t _
beregint	_ b' E r' e g' i n t _
bereik	_ b' e r' E J k _
bereikal	_ b' e r' E J k a l _
bergaz	_ b' e r g a s _
bergþ	_ b' e r k S _
berks	_ b' e r k s _
berna	_ b' e r n a _
berods	_ b' e r Oo t s _
besi	_ b' E s' i _
beskuo	_ b' e s k uO _
bestelë	_ b' e s' t' e l' ee _
besu	_ b' e s u _
besusi	_ b' e s U s' i _
bet	_ b' e t _
betgi	_ b' e d' g' i _
betkem	_ b' e t' k' e m _
beton	_ b' e t oo n _
beuþ	_ b' e w S _
beuþsi	_ b' e U S' s' i _
beveik	_ b' e v' E J k _
beveizdint	_ b' e v' Ea j z' d' i n t _
beveizint	_ b' e v' Ea j z' i n t _
bezd	_ b' e s t _
bezue	_ b' e z u e _
beþdþionia	_ b' e Z' dZ' oo n' e _
beþdþionë	_ b' e Z' dZ' oO n' ee _
beþiûrint	_ b' e Z' uU r' i n t _
bger	_ b' g' e r _
bia	_ b' e _
bial	_ b' e l _
bialypa	_ b' e l' ii p a _
biang	_ b' e n k _
biangoun	_ b' e n g oo w n _
biaop	_ b' e oo p _
biar	_ b' e r _
biardouj	_ b' e r d oo w j' _
biarg	_ b' e r k _
biargap	_ b' e r g a p _
biargatlims	_ b' e r g a t' l' i m s _
biargoun	_ b' e r g oo w n _
biargði	_ b' e r' k' S' i _
biarypa	_ b' e r' ii p a _
biarþugeg	_ b' e r Z u g' e k _
biats	_ b' e t s _
biatsap	_ b' e t s a p _
biaþ	_ b' e S _
bibliograf	_ b' i b' l' oo g r a f _
bic	_ b' i ts _
bidz	_ b' I ts _
bidzen	_ b' i dz' e n _
bidë	_ b' i d' eE _
bie	_ b' ie _
bieg	_ b' ie k _
bihas	_ b' i h a s _
bij	_ b' i j' _
bik	_ b' i k _
bikivd	_ b' i k' i v t _
bild	_ b' i l t _
bilden	_ b' i l' d' e n _
bildin	_ b' i l' d' i n _
bildu	_ b' I l d u _
bilk	_ b' I l k _
bilsno	_ b' i l s n oo _
bilstelë	_ b' i l' s' t' e l' ee _
bilþ	_ b' i l S _
bilþsup	_ b' i l S s u p _
bimb	_ b' i m p _
bimbali	_ b' i m b a l' i _
bimbin	_ b' i m' b' i n _
bimbinë	_ b' I m' b' i n' ee _
bimbs	_ b' I M p s _
bimbtelë	_ b' i m' p' t' e l' ee _
bindzen	_ b' i n' dz' e n _
bindzin	_ b' i n' dz' i n _
bindzinë	_ b' i n' dz' i n' ee _
bing	_ b' i n k _
bink	_ b' I N k _
bint	_ b' i n t _
biomikroskop	_ b' oo m' i k r oo s k oo p _
biotest	_ b' oo t' e s t _
bir	_ b' i r _
birak	_ b' i r a k _
birap	_ b' i r a p _
birb	_ b' i r p _
birben	_ b' i r' b' e n _
birbin	_ b' i r' b' i n _
birbs	_ b' I R p s _
birbt	_ b' i r p t _
birbtelë	_ b' i r' p' t' e l' ee _
birbyni	_ b' i r' b' ii n' i _
birbèio	_ b' i r' p' tS' oo _
birdap	_ b' i r d a p _
birdgeins	_ b' i r' d' g' e j n s _
birdpalð	_ b' i r t p a l S _
bireb	_ b' i r' e p _
biren	_ b' i r' e n _
birpa	_ b' i r p a _
birsno	_ b' i r s n oo _
birtaid	_ b' i r t a j t _
birts	_ b' i r t s _
birzg	_ b' i r s k _
birzgen	_ b' i r' z' g' e n _
birzgin	_ b' i r' z' g' i n _
birþ	_ b' i r S _
birþu	_ b' I r Z u _
bis	_ b' I s _
bisau	_ b' i s Aa w _
bistro	_ b' i s t r oo _
bitininka	_ b' i t' i n' i n k a _
bits	_ b' i t s _
bitum	_ b' i t u m _
biurokratë	_ b' u r o k r aA t' ee _
bivþ	_ b' i v S _
biz	_ b' i s _
bizdinë	_ b' i z' d' i n' ee _
bizduli	_ b' i z d u l' i _
bize	_ b' i z' E _
biznia	_ b' i z' n' e _
bizno	_ b' I z n oo _
bièiulia	_ b' i tS' u l' e _
biþ	_ b' i S _
biþap	_ b' i Z a p _
biþitkan	_ b' i Z' i t k a n _
bjaurin	_ b' j' e w r' i n _
bjauro	_ b' j' e w r oo _
bjaurë	_ b' j' e w r' ee _
bjurin	_ b' j' u r' i n _
bla	_ b l a _
blad	_ b l a t _
bladap	_ b l a d a p _
blagap	_ b l a g a p _
blaiv	_ b l a j v _
blaivin	_ b l a j v' i n _
blaivë	_ b l A J v' ee _
blak	_ b l a k _
blakaiguad	_ b l a k a j g u a t _
blakaiknat	_ b l a k a j k n a t _
blakaikðia	_ b l a k a j k' S' e _
blakailek	_ b l a k a j l' e k _
blakailiem	_ b l a k a j l' ie m _
blakaiseit	_ b l a k a j s' e j t _
blakaisrag	_ b l a k a j s r a k _
blakaièats	_ b l a k a j tS a t s _
blakaièðut	_ b l a k a j tS S u t _
